c_quinsee;n_sq_qu;c_qu;surface;n_sq_ar;l_qu;c_ar;P12_POP;P07_POP
7510302;750000010;10;271750.32393656;750000003;Enfants-Rouges;3;9569;9118
7510404;750000016;16;378252.15367404;750000004;Notre-Dame;4;3271;3286
7510502;750000018;18;798389.39846272;750000005;Jardin-des-Plantes;5;18219;18300
7510701;750000025;25;826559.43678046;750000007;Saint-Thomas-d'Aquin;7;11635;12227
7510903;750000035;35;417335.0806209;750000009;Faubourg-Montmartre;9;10375;10625
7510904;750000036;36;500435.41496439;750000009;Rochechouart;9;22734;22146
7511002;750000038;38;472113.59989654;750000010;Porte-Saint-Denis;10;16741;16236
7511003;750000039;39;609034.65445098;750000010;Porte-Saint-Martin;10;24403;22875
7511104;750000044;44;929609.24169048;750000011;Sainte-Marguerite;11;38188;36342
7511203;750000047;47;1902932.20180839;750000012;Bercy;12;13747;15046
7510101;750000001;1;869000.66456395;750000001;St-Germain-l'Auxerrois;1;1478;1859
7511904;750000076;76;1294987.89198123;750000019;Combat;19;41884;42009
7511701;750000065;65;1465070.90670735;750000017;Ternes;17;39868;39060
7511704;750000068;68;1378544.9478026;750000017;Epinettes;17;45631;44982
7510304;750000012;12;213316.35151125;750000003;Sainte-Avoie;3;7983;7597
7510601;750000021;21;293360.5723113;750000006;Monnaie;6;5418;6164
7510603;750000023;23;861307.03782615;750000006;Notre-Dame-des-Champs;6;24362;24900
7510703;750000027;27;807870.76658157;750000007;Ecole-Militaire;7;12794;12784
7510901;750000033;33;717091.56964335;750000009;Saint-Georges;9;22319;21668
7511202;750000046;46;7205014.42000634;750000012;Picpus;12;67377;64824
7511303;750000051;51;2231505.76112385;750000013;Maison-Blanche;13;68107;66466
7511402;750000054;54;1357950.39031575;750000014;Parc-de-Montsouris;14;22774;20823
7511404;750000056;56;1784947.86756023;750000014;Plaisance;14;60211;57639
7510103;750000003;3;273696.79330056;750000001;Palais-Royal;1;3423;3291
7511902;750000074;74;2376238.12998783;750000019;Pont-de-Flandre;19;30240;28883
7511504;750000060;60;2609009.45573145;750000015;Javel 15Art;15;52650;51536
7511602;750000062;62;5477898.30048563;750000016;Muette;16;46367;44189
7511604;750000064;64;1424035.23620053;750000016;Chaillot;16;21023;20417
7510203;750000007;7;278142.58508411;750000002;Mail;2;6927;6391
7510303;750000011;11;367728.38686733;750000003;Archives;3;8631;8154
7510403;750000015;15;487264.93707154;750000004;Arsenal;4;8622;9174
7510801;750000029;29;1140253.99187045;750000008;Champs-Elysées;8;4038;4146
7510902;750000034;34;543441.16771129;750000009;Chaussée-d'Antin;9;4044;4190
7511001;750000037;37;926865.22977637;750000010;Saint-Vincent-de-Paul;10;23806;23311
7511004;750000040;40;883726.0024999;750000010;Hôpital-Saint-Louis;10;29521;30949
7511403;750000055;55;1345774.2646037;750000014;Petit-Montrouge;14;39292;38283
7511502;750000058;58;1578484.18990921;750000015;Necker;15;48647;47027
7512004;750000080;80;2090903.97517298;750000020;Charonne;20;66956;65182
7511603;750000063;63;3086718.43263253;750000016;Porte-Dauphine;16;27476;27976
7511702;750000066;66;1383507.69887172;750000017;Plaine de Monceaux;17;42259;39283
7511703;750000067;67;1441710.87038814;750000017;Batignolles;17;42396;41345
7510204;750000008;8;281448.20657677;750000002;Bonne-Nouvelle;2;10713;10892
7510301;750000009;9;318087.74045393;750000003;Arts-et-Metiers;3;9807;9705
7510401;750000013;13;313040.39654987;750000004;Saint-Merri;4;6171;6139
7510402;750000014;14;422028.17132449;750000004;Saint-Gervais;4;9702;9970
7510501;750000017;17;604156.07289651;750000005;Saint-Victor;5;12279;12568
7510504;750000020;20;433197.79244055;750000005;Sorbonne;5;9946;10704
7510602;750000022;22;716148.35103094;750000006;Odeon;6;8647;9052
7511101;750000041;41;725752.4910413;750000011;Folie-Méricourt;11;33602;34059
7511201;750000045;45;5970920.50253212;750000012;Bel-Air;12;36305;35553
7511204;750000048;48;1235915.67811719;750000012;Quinze-Vingts;12;27494;27001
7511301;750000049;49;1181560.26743328;750000013;Salpêtrière;13;18466;18678
7511501;750000057;57;2829201.55405581;750000015;Saint-Lambert;15;86940;84784
7511503;750000059;59;1478299.05190638;750000015;Grenelle;15;49952;48898
7512002;750000078;78;1486971.46267173;750000020;Saint-Fargeau;20;46089;46111
7512003;750000079;79;1599001.97316102;750000020;Père-Lachaise;20;46367;45037
7511401;750000053;53;1126205.40674455;750000014;Montparnasse;14;18824;17634
7511801;750000069;69;1905565.87016357;750000018;Grandes-Carrières;18;73347;70781
7511804;750000072;72;1347544.5496766;750000018;La Chapelle;18;25856;24642
7511901;750000073;73;1285705.01238933;750000019;Villette;19;56468;54630
7510202;750000006;6;243550.77062341;750000002;Vivienne;2;3249;3214
7510503;750000019;19;703631.1629235;750000005;Val-de-Grace;5;19734;21091
7510604;750000024;24;282279.93986392;750000006;Saint-Germain-des-Prés;6;4796;5214
7510702;750000026;26;1073733.76894888;750000007;Invalides;7;5828;6698
7510704;750000028;28;1381893.27645234;750000007;Gros-Caillou;7;26833;25700
7510802;750000030;30;796589.05165137;750000008;Faubourg-du-Roule;8;9073;10096
7510803;750000031;31;760726.55813705;750000008;Madeleine;8;5781;5361
7510804;750000032;32;1182466.96498995;750000008;Europe;8;19856;19560
7511102;750000042;42;837992.9215673;750000011;Saint-Ambroise;11;33310;32873
7511103;750000043;43;1172086.94385734;750000011;Roquette;11;49904;48145
7511302;750000050;50;3044177.51486294;750000013;Gare;13;75626;74721
7511304;750000052;52;692067.71109168;750000013;Croulebarbe;13;20186;19346
7510102;750000002;2;412458.49632967;750000001;Halles;1;9372;9699
7510104;750000004;4;269456.78059945;750000001;Place-Vendôme;1;2825;3064
7510201;750000005;5;188012.20385047;750000002;Gaillon;2;1499;1247
7511903;750000075;75;1835720.27493257;750000019;Amérique;19;57522;58514
7512001;750000077;77;806568.64577504;750000020;Belleville;20;37897;37687
7511601;750000061;61;6383887.78432144;750000016;Auteuil;16;72746;67122
7511802;750000070;70;1653715.16259272;750000018;Clignancourt;18;70248;67183
7511803;750000071;71;1089225.57975143;750000018;Goutte-d'Or;18;31921;28915
